"metrics","mean","sd","type","frag","k"
"AUC",0.999601518983693,0.00014,"{1,2}-mer","10000 bp","3"
"AUC",0.998378679464176,0.0060,"{1,3}-mer","10000 bp","4"
"AUC",0.999296172996966,0.021061,"{3,1}-mer","10000 bp","4"
"AUC",0.999369852353056,0.0044,"{2,1}-mer","10000 bp","3"
"AUC",0.999429300244277,0.0021,"{2,2}-mer","10000 bp","4"
"AUC",0.99860726431322,0.0014,"{1,2}-mer","5000 bp","3"
"AUC",0.996758699924064,0.0067,"{1,3}-mer","5000 bp","4"
"AUC",0.995849319349568,0.0060,"{3,1}-mer","5000 bp","4"
"AUC",0.998340354166241,0.001,"{2,1}-mer","5000 bp","3"
"AUC",0.996843704652009,0.0042,"{2,2}-mer","5000 bp","4"
"AUC",0.999304348578761,0.006,"{1,2}-mer","3000 bp","3"
"AUC",0.992320612787749,0.006,"{1,3}-mer","3000 bp","4"
"AUC",0.986217991571302,0.007,"{3,1}-mer","3000 bp","4"
"AUC",0.992320612787749,0.001,"{2,1}-mer","3000 bp","3"
"AUC",0.989490118135963,0.001,"{2,2}-mer","3000 bp","4"
"AUC",0.990304348578761,0.002,"{1,2}-mer","1000 bp","3"
"AUC",0.963623706357611,0.007,"{1,3}-mer","1000 bp","4"
"AUC",0.955862511947984,0.003,"{3,1}-mer","1000 bp","4"
"AUC",0.988288783122573,0.001,"{2,1}-mer","1000 bp","3"
"AUC",0.999884,0.0061,"{2,2}-mer","1000 bp","4"
"AUC",0.99960726431322,0.00061,"{1,2}-mer","500 bp","3"
"AUC",0.986758699924064,0.00612,"{1,3}-mer","500 bp","4"
"AUC",0.924874963663979,0.0012,"{3,1}-mer","500 bp","4"
"AUC",0.996976039118703,0.00761,"{2,1}-mer","500 bp","3"
"AUC",0.933316176478876,0.0011,"{2,2}-mer","500 bp","4"
"AUC",0.726205179925243,0.00612,"{0,2}-mer","500 bp","2"
"AUC",0.794990877750106,0.00612,"{0,3}-mer","500 bp","3"
"AUC",0.859977150090223,0.010612,"{0,4}-mer","500 bp","4"
"AUC",0.726205179925243,0.00674,"{0,2}-mer","5000 bp","2"
"AUC",0.726367476835902,0.00604,"{0,3}-mer","5000 bp","3"
"AUC",0.734336061893567,0.0067,"{0,4}-mer","5000 bp","4"
"AUC",0.804951540975346,0.0001,"{0,2}-mer","1000 bp","2"
"AUC",0.861677866619452,0.006,"{0,3}-mer","1000 bp","3"
"AUC",0.876543476607578,0.006,"{0,4}-mer","1000 bp","4"
"AUC",0.814693099283435,0.0007,"{0,2}-mer","3000 bp","2"
"AUC",0.811264034382402,0.0014,"{0,3}-mer","3000 bp","3"
"AUC",0.811932627712875,0.00611,"{0,4}-mer","3000 bp","4"
"AUC",0.77818622682433,0.0023,"{0,2}-mer","10000 bp","2"
"AUC",0.840908435835909,0.00161,"{0,3}-mer","10000 bp","3"
"AUC",0.762153130561981,0.010612,"{0,4}-mer","10000 bp","4"
